location,events,borough
"56 ROAD between 61 STREET and 64 STREET,  61 STREET between 56 ROAD and 56 AVENUE,  56 AVENUE between 61 STREET and 64 STREET,  64 STREET between 56 ROAD and 56 AVENUE,  56 ROAD between 61 STREET and 64 STREET",1,Queens
57 STREET between 20 AVENUE and 21 AVENUE,1,Brooklyn
60 ROAD between MT OLIVET CRESCENT and 66  ST,1,Queens
"6101 BROADWAY, BROADWAY between 61 STREET and 62 STREET,  35 AVENUE between 62 STREET and 75 STREET,  75 STREET between 35 AVENUE and 37 ROAD,  37 ROAD between 75 STREET and 74 STREET,  74 STREET between 37 ROAD and 35 AVENUE,  35 AVENUE between 74 STREET and 62 STREET,  BROADWAY between 62 STREET and 61 STREET, 61-01 BROADWAY between 61 STREET and 62 STREET",1,Queens
66 STREET between 19 AVENUE and 20 AVENUE,1,Brooklyn
67TH RD between 112TH ST and GRAND CENTRAL PARKWAY,1,Queens
"69 ST between 37 AVE and 35 AVE,  37 AVE between 69 ST and 87 ST,  87 STREET  between 37 AVE and 35 AVE",1,Queens
"7 AVENUE between WEST   49 STREET and WEST   53 STREET,  WEST   49 STREET between 7 AVENUE and 12 AVENUE,  12 AVENUE between WEST   49 STREET and 11 AVENUE,  WEST ST between 12TH and LIBERTY STREET,  LIBERTY ST between WEST ST and S END AVE,  LIBERTY between WEST ST and S END AVE",1,Manhattan
"8 AVENUE between 66 STREET and 68 STREET,  8 AVENUE between 66 STREET and 43 STREET,  8 AVENUE between 43 STREET and 41 STREET",1,Brooklyn
82 PLACE between PENELOPE AVENUE and 63 AVENUE,1,Queens
82 STREET between 13 AVENUE and 14 AVENUE,1,Brooklyn
82 STREET between 160 AVENUE and 161 AVENUE,1,Queens
"9 AVENUE between 14 STREET and 15 STREET,  WEST   15 STREET between 9 AVENUE and 10 AVENUE",1,Manhattan
90 STREET between 165 AVENUE and 164 AVENUE,1,Queens
9820 161 AVENUE between 99 STREET and 98 STREET,1,Queens
ADELAIDE AVENUE between FALCON AVENUE and LYNN STREET,1,Staten Island
